"longitude","latitude","environment.2020_land_distance","environment.2020_mean_depth","environment.2020_net_primary_production","environment.2020_sea.bottom_dissolved_oxygen","fishing.activity.2020_total_fishing","species.richness.2020","stocks.richness.2020","thermohalinity_2020","1","4","hotspot"
9.72,42.03,0.780663351,-0.183482491,0.353040049,-0.174551902,-0.272504247,2.065682987,1.54663467,-0.645794617,NA,0.601834782724231,1
10.22,42.03,-0.390063914,-0.109049502,0.244496714,0.046783977,0.002492171,1.333084109,1.452137091,-0.572197101,NA,0.502008429201417,1
10.72,42.03,0.704473162,-0.256967805,0.246759662,0.181244248,0.54331301,1.895720047,1.49938588,-0.542138304,NA,0.703648266297961,1
11.22,42.03,0.780663351,0.126669122,0.312042462,1.347173822,2.782006666,2.059822196,1.641132248,-1.106622873,0.520292051330037,NA,1
11.72,42.03,2.473778614,0.515843375,0.39277968,2.103253624,2.188467064,1.379970437,1.026897987,-1.711718215,0.593087112930834,NA,1
15.22,42.03,0.704473162,1.663672942,-0.117343784,1.624299601,3.376989659,1.104513259,1.310390723,-0.88130119,0.583713214339742,NA,1
15.72,42.03,-0.376655944,1.286773672,-0.199869648,1.690312487,3.01460603,0.401218337,0.932400409,-0.911655312,0.490150443172842,NA,1
16.22,42.03,-0.444663381,0.874540064,-0.234556818,1.630830101,1.940576332,0.295724099,1.026897987,-0.908632323,0.453877182513636,NA,1
16.72,42.03,-0.444663381,0.168473877,-0.297425767,1.365135207,0.41253509,0.600485232,1.121395566,-0.987985784,NA,0.438453920985759,1
17.22,42.03,-0.444663381,-0.290174853,-0.323666947,1.18197589,-0.056532584,0.594624441,1.168644355,-0.759052994,NA,0.425774931670115,1
17.72,42.03,-0.444663381,-0.327433245,-0.234715177,1.203803044,-0.038997208,0.471547829,1.074146777,-0.589757809,NA,0.395146796740725,1
18.22,42.03,-0.371957424,-0.274865412,-0.084732188,1.309003943,-0.045092793,1.016601394,1.357639513,-0.753933498,NA,0.512194294084913,1
18.72,42.03,1.066376551,0.777629077,-0.166770784,1.754361978,0.749285506,1.590958914,1.49938588,-1.250880708,0.544410637494505,0.330215299373958,1
2.72,41.53,2.875893494,0.273760004,1.783722167,0.873883955,0.352120414,2.264949882,1.357639513,-0.922465429,0.374299800312608,0.371960557679767,1
3.22,41.53,0.865319125,-0.021335407,0.839360236,0.503445572,1.69277521,2.528685478,1.54663467,-0.67009741,0.371175836736384,0.4160436645038,1
3.72,41.53,-0.376655944,-0.370022251,0.427823505,-0.172665826,-0.210107475,0.448104665,0.790654041,-0.507441406,NA,NA,0
4.22,41.53,-0.491381518,-0.393670953,0.296391398,-0.06036174,-0.435445559,-0.618559301,-0.674058427,-0.473780163,NA,NA,0
4.72,41.53,-0.555138646,-0.394624993,0.277507192,-0.005333627,-0.435445559,-0.606837719,-0.626809638,-0.507125122,NA,NA,0
5.22,41.53,-0.593128629,-0.392536821,0.341973762,0.037228883,-0.435445559,-0.431013988,-0.296068113,-0.585910622,NA,NA,0
5.72,41.53,-0.599812319,-0.394624993,0.344801219,0.096528402,-0.435445559,-0.44273557,-0.437814481,-0.567196591,NA,NA,0
6.22,41.53,-0.599812319,-0.396472195,0.230125494,0.145551462,-0.435445559,-0.577533764,-0.48506327,-0.319299719,NA,NA,0
6.72,41.53,-0.601909795,-0.397941508,0.138491887,0.149436746,-0.435445559,-0.712331957,-0.768556006,-0.145982445,NA,NA,0
7.22,41.53,-0.568729132,-0.399063371,0.158538977,0.176227664,-0.435445559,-0.741635912,-0.815804795,-0.101844777,NA,NA,0
7.72,41.53,-0.509654339,-0.399404803,0.229169446,0.185247434,-0.435445559,-0.642002465,-0.768556006,-0.104399188,NA,NA,0
8.22,41.53,-0.394317842,-0.390272147,0.26232905,0.043838202,-0.435393654,-0.372406078,-0.48506327,-0.04507367,NA,NA,0
8.72,41.53,1.324878959,-0.281698556,0.29660214,0.526392058,-0.435435892,2.042239823,1.357639513,-0.71608389,NA,0.628981559827445,1
9.72,41.53,-0.394317842,-0.268449973,0.313736256,-0.355721749,-0.306259926,1.215868289,1.452137091,-0.478637808,NA,0.38012458541111,1
10.22,41.53,-0.482309122,-0.314877478,0.23772134,-0.369928353,-0.350039843,0.87594241,1.310390723,-0.478115705,NA,NA,0
10.72,41.53,-0.444663381,-0.353330765,0.185374195,-0.315297236,-0.397557478,0.424661501,0.932400409,-0.342974042,NA,NA,0
11.22,41.53,-0.444663381,-0.321115721,0.167077497,-0.365154654,-0.241607674,0.799752126,1.168644355,-0.380460598,NA,NA,0
11.72,41.53,-0.376655944,-0.279932024,0.218387832,-0.040198466,0.94733722,1.379970437,1.452137091,-0.47546123,NA,0.479555628511533,1
12.22,41.53,1.324878959,0.087809474,0.58455217,0.954802421,3.17861011,1.977771122,1.404888302,-1.503379492,0.513089377935463,NA,1
16.22,41.53,0.959934366,0.548545103,0.169507598,2.16180654,2.79883958,1.538211795,1.357639513,-1.776778392,0.610571525486324,NA,1
16.72,41.53,-0.376655944,0.155913944,-0.215825855,1.619121483,1.581939709,0.911107156,1.357639513,-0.969318894,0.386120631537553,0.355763375131892,1
