longitude,latitude,environment.2018_land_distance_inv,environment.2018_mean_depth_inv,environment.2018_net_primary_production,environment.2018_sea.bottom_dissolved_oxygen,fishing.activity.2018_total_fishing,species.richness.2018,stocks.richness.2018,thermohalinity_2018,cluster,distance_class_interpretation,hotspot
7.72,41.53,-0.509654339,-0.399404803,-0.078896658,-0.127640851,-0.372381021,-0.597741916,-0.703746387,-0.298069684,14,medium risk,0
8.22,41.53,-0.394317842,-0.390272147,-0.103569615,-0.069538796,-0.372381021,-0.367651246,-0.345767356,-0.194734291,13,medium risk,0
8.72,41.53,1.324878959,-0.281698556,-0.061737586,0.852658281,-0.372381021,1.862458332,1.488875182,-0.762027195,17,high risk,1
9.72,41.53,-0.394317842,-0.268449973,-0.216270712,-0.341121875,-0.292493111,0.771002586,1.309885666,-0.593843021,2,high risk,1
10.22,41.53,-0.482309122,-0.314877478,-0.23901396,-0.462235001,-0.34282003,0.057131531,0.459685466,-0.583055964,7,medium risk,0
10.72,41.53,-0.444663381,-0.353330765,-0.249494328,-0.450891575,-0.280843295,-0.40304981,-0.480009492,-0.530877975,13,medium risk,0
11.22,41.53,-0.444663381,-0.321115721,-0.245046146,-0.307389665,-0.213600772,-0.072663206,0.101706434,-0.620204092,7,medium risk,0
11.72,41.53,-0.376655944,-0.279932024,-0.101286506,0.129427853,1.181364551,1.272482253,1.57836994,-0.535249559,2,high risk,1
12.22,41.53,1.324878959,0.087809474,1.051600107,1.142238412,5.208546915,2.310840152,1.846854214,-1.611597603,17,high risk,1
16.22,41.53,0.959934366,0.548545103,0.088993995,2.822972953,3.010732003,1.667766226,1.57836994,-1.635806743,17,high risk,1
16.72,41.53,-0.376655944,0.155913944,-0.203119583,1.764479711,1.897518817,0.623508567,1.399380424,-0.545926594,3,medium risk,0
17.22,41.53,-0.444663381,-0.292297399,-0.223838724,-0.262443541,-0.25123522,0.511413112,1.086148771,-0.431066855,3,medium risk,0
17.72,41.53,-0.482309122,-0.337064969,-0.201830704,-0.473153515,-0.361662848,0.110229378,0.504432845,-0.265337931,7,medium risk,0
18.22,41.53,-0.482309122,-0.332715364,-0.187465993,-0.214543754,-0.341935961,0.363919092,1.041401392,-0.369675791,3,medium risk,0
18.72,41.53,-0.376655944,-0.086737938,-0.093539009,1.465560062,-0.105612293,1.201685124,1.533622561,-0.668091082,2,high risk,1
19.22,41.53,0.780663351,1.488310144,1.667722073,2.415138035,0.358197205,1.520272206,1.667864698,-1.275821425,17,high risk,1
1.22,41.03,4.082238132,1.043158258,2.4254009,-0.606449851,3.450390079,1.667766226,1.488875182,-1.640130216,8,high risk,1
1.72,41.03,1.888884255,-0.012016526,1.935754468,-0.641817298,5.534575486,2.623527474,1.802106835,-1.30612754,17,high risk,1
2.22,41.03,0.865319125,-0.204959342,1.023278277,-0.858311023,1.258921792,2.717923646,1.891601593,-0.761633953,17,high risk,1
2.72,41.03,-0.376655944,-0.3409059,0.720238863,-0.455079063,0.065069749,1.667766226,1.712612077,-0.405781347,2,high risk,1
3.22,41.03,-0.444663381,-0.372115284,0.315812524,-0.308382106,-0.224114889,0.888997802,1.309885666,-0.442775232,2,high risk,1
3.72,41.03,-0.482309122,-0.38919577,0.116502314,-0.061041448,-0.372381021,-0.143460336,-0.032535703,-0.413201371,11,medium risk,0
4.22,41.03,-0.539251145,-0.396063172,0.079227755,-0.045375973,-0.372381021,-0.4797467,-0.524756871,-0.343490312,13,medium risk,0
4.72,41.03,-0.563312625,-0.397365704,0.075926019,-0.066315106,-0.372381021,-0.503345744,-0.56950425,-0.368547355,13,medium risk,0
5.22,41.03,-0.58318309,-0.396370692,0.070621105,-0.065167179,-0.372381021,-0.485646461,-0.56950425,-0.461379852,13,medium risk,0
5.72,41.03,-0.605272428,-0.396873811,0.098075185,-0.088319211,-0.372381021,-0.47384694,-0.614251629,-0.418263375,13,medium risk,0
6.22,41.03,-0.610938243,-0.397543249,0.072586064,-0.1024448,-0.372381021,-0.515145265,-0.614251629,-0.345727403,13,medium risk,0
6.72,41.03,-0.581395866,-0.398777147,0.019228645,-0.108990837,-0.372381021,-0.562343351,-0.748493766,-0.297608607,14,medium risk,0
7.22,41.03,-0.540676958,-0.400311737,-0.054262659,-0.145914133,-0.371680814,-0.568243112,-0.658999008,-0.258333731,14,medium risk,0
7.72,41.03,-0.484637984,-0.39962436,-0.123704366,-0.078036519,-0.367564956,-0.515145265,-0.345767356,-0.212234911,13,medium risk,0
8.22,41.03,-0.381237004,-0.364235161,-0.111956652,0.107912706,-0.228502875,0.835899955,1.265138287,-0.366279414,2,high risk,1
8.72,41.03,0.704473162,-0.155608719,-0.078584613,1.747217017,-0.085243,1.939155222,1.444127803,-0.730285249,17,high risk,1
9.72,41.03,0.704473162,-0.000607275,-0.188689642,0.888701628,0.064537641,1.414076512,1.354633045,-0.843525624,2,high risk,1
10.22,41.03,-0.381237004,-0.34047396,-0.234973923,-0.36584849,-0.349736228,-0.072663206,0.146453813,-0.571209206,7,medium risk,0
10.72,41.03,-0.495685071,-0.366441734,-0.25614594,-0.319968313,-0.36930302,-0.349951963,-0.390514734,-0.546913407,13,medium risk,0
11.22,41.03,-0.539251145,-0.351099655,-0.273055704,-0.268461441,-0.3571252,-0.668539046,-0.748493766,-0.497187564,14,medium risk,0
11.72,41.03,-0.482309122,-0.365231909,-0.2400553,-0.224645646,-0.367887251,-0.397150049,-0.524756871,-0.255363384,13,medium risk,0
12.22,41.03,-0.376655944,-0.339862971,0.469731646,0.048739493,0.660571528,1.484873642,1.667864698,-0.227156216,2,high risk,1
12.72,41.03,0.780663351,-0.074417123,1.298704244,0.515323757,5.800615974,2.723823407,1.846854214,-0.880655501,17,high risk,1
13.22,41.03,1.483957386,0.777629077,0.082891852,0.331843177,2.252566431,1.92145594,1.623117319,-1.175022191,17,high risk,1
13.72,41.03,2.152086716,1.166811547,0.409890089,1.421326013,3.745246942,1.514372446,1.354633045,-1.861474106,17,high risk,1
17.22,41.03,0.780663351,-0.068528645,-0.104041964,1.403959375,0.720166508,1.945054983,1.623117319,-0.607372256,17,high risk,1
17.72,41.03,-0.381237004,-0.300391061,-0.167565479,0.131781144,-0.047818365,0.906697085,1.399380424,-0.357960624,2,high risk,1
18.22,41.03,-0.444663381,-0.325057461,-0.207296813,-0.325368902,-0.335460869,0.405217418,0.951906635,-0.328799581,3,medium risk,0
18.72,41.03,-0.398470496,-0.244179634,-0.178547319,0.43627459,-0.189965246,0.953895171,1.399380424,-0.53623959,2,high risk,1
19.22,41.03,0.635539194,2.075394403,1.389353465,2.426665954,0.057407485,1.449475077,1.667864698,-1.313919122,17,high risk,1
28.22,41.03,6.494927379,5.650870562,1.21408056,1.383964573,-0.281381446,-0.580042634,-0.524756871,2.295809926,4,high risk,1
0.72,40.53,1.669548855,2.866161175,3.729358906,0.508650552,10.91582106,1.573370053,1.265138287,-1.93672711,1,high risk,1
1.22,40.53,-0.28358053,0.296512883,1.400120617,-0.846686245,4.413883449,2.293140869,1.757359456,-0.575043261,17,high risk,1
1.72,40.53,-0.421448495,-0.342928332,0.619558523,-0.806271719,-0.042439933,1.254782971,1.444127803,-0.047886155,2,high risk,1
2.22,40.53,-0.447709044,-0.371747695,0.19281006,-0.635196733,-0.322767765,0.021732966,0.101706434,-0.039019653,7,medium risk,0
2.72,40.53,-0.484637984,-0.381327684,0.002209157,-0.371008412,-0.358425139,-0.467947179,-0.390514734,-0.059510566,13,medium risk,0
3.22,40.53,-0.484637984,-0.387418821,0.037707406,-0.146181352,-0.372319278,-0.456147657,-0.390514734,-0.06370269,13,medium risk,0
3.72,40.53,-0.447709044,-0.39211252,0.077250442,-0.030900404,-0.367068416,-0.397150049,-0.032535703,-0.132250737,11,medium risk,0
4.22,40.53,-0.447709044,-0.396183194,0.109672642,-0.002943106,-0.367193618,-0.302753877,0.012211676,-0.106210433,11,medium risk,0
4.72,40.53,-0.484637984,-0.398440577,0.154173824,-0.044026277,-0.372381021,-0.355851724,-0.345767356,-0.071645844,13,medium risk,0
5.22,40.53,-0.540676958,-0.398378888,0.178947619,-0.08697311,-0.372381021,-0.420749093,-0.301019977,-0.119862293,13,medium risk,0
5.72,40.53,-0.58318309,-0.398394281,0.173674239,-0.11033476,-0.372381021,-0.40304981,-0.345767356,-0.169939954,13,medium risk,0
6.22,40.53,-0.605925852,-0.398563608,0.109063851,-0.119019692,-0.372381021,-0.361751485,-0.345767356,-0.1843384,13,medium risk,0
6.72,40.53,-0.571825172,-0.399827252,-0.002447056,-0.131467148,-0.372381021,-0.556443591,-0.658999008,-0.193946892,14,medium risk,0
7.22,40.53,-0.513360461,-0.400535809,-0.142772886,-0.101406391,-0.369076117,-0.609541438,-0.703746387,-0.128144177,14,medium risk,0
7.72,40.53,-0.398470496,-0.389218686,-0.167333945,-0.002192692,-0.116868801,0.228224594,0.191201192,-0.190002087,7,medium risk,0
8.22,40.53,1.324878959,0.078329832,-0.057742182,0.846477479,0.420413992,1.909656418,1.533622561,-1.485378389,17,high risk,1
10.22,40.53,-0.28358053,-0.3401257,-0.218979869,-0.234028805,-0.203043389,0.287222202,0.593927603,-0.35498151,7,medium risk,0
10.72,40.53,-0.467404463,-0.385144193,-0.241003196,-0.171466292,-0.372381021,-0.562343351,-0.658999008,-0.264114803,14,medium risk,0
11.22,40.53,-0.54618617,-0.394825686,-0.26413961,-0.198584167,-0.372381021,-0.662639285,-0.882735903,-0.155170358,15,low risk,0
11.72,40.53,-0.540676958,-0.390728971,-0.279693245,-0.192700515,-0.372332815,-0.810133305,-0.972230661,-0.08770647,15,low risk,0
12.22,40.53,-0.484637984,-0.396370692,-0.270399197,-0.186967261,-0.34345731,-0.709837371,-0.927483282,0.02926979,15,low risk,0
12.72,40.53,-0.447709044,-0.392775939,-0.224664919,-0.143249287,-0.1867658,-0.261455551,-0.614251629,0.036646345,13,medium risk,0
13.22,40.53,-0.381237004,-0.351787726,-0.249136026,-0.044911436,0.420922558,-0.243756269,-0.435262113,0.048462092,13,medium risk,0
13.72,40.53,0.635539194,-0.278581228,0.040503643,0.195350963,1.949265283,1.909656418,1.667864698,-0.285397776,17,high risk,1
14.22,40.53,1.187011023,-0.034577856,1.011766443,0.937854359,1.590358259,2.812319819,1.936348972,-0.76446352,17,high risk,1
14.72,40.53,4.082238132,0.062533823,0.725153261,1.007445315,0.093446754,1.402276991,1.13089615,-1.53064876,8,high risk,1
18.22,40.53,0.704473162,0.060355374,-0.205547399,1.520722155,2.414652545,1.284281775,1.13089615,-0.77061019,2,high risk,1
18.72,40.53,-0.398470496,-0.257549281,-0.203481611,0.386473289,-0.152159799,0.759203065,1.309885666,-0.43695112,2,high risk,1
