"longitude","latitude","environment.2019_land_distance","environment.2019_mean_depth","environment.2019_net_primary_production","environment.2019_sea.bottom_dissolved_oxygen","fishing.activity.2019_total_fishing","species.richness.2019","stocks.richness.2019","thermohalinity_2019","distance_class","distance_class_interpretation"
9.72,42.03,0.780663351,-0.183482491,0.130028837,-0.254256562,-0.34368597,2.022387937,1.535575514,-0.590913908,3,"high risk"
10.22,42.03,-0.390063914,-0.109049502,0.077413932,0.035986792,0.113996085,1.215800756,1.438779464,-0.57441784,3,"high risk"
10.72,42.03,0.704473162,-0.256967805,0.021972475,0.247713242,0.570815598,1.735601384,1.39038144,-0.500573913,3,"high risk"
11.22,42.03,0.780663351,0.126669122,0.066806891,1.467571781,2.35977948,1.932767139,1.535575514,-1.065779143,1,"high risk"
11.72,42.03,2.473778614,0.515843375,0.197933597,2.094587697,2.788343175,1.275547955,1.051595267,-1.75225705,1,"high risk"
15.22,42.03,0.704473162,1.663672942,-0.115073964,1.729039647,3.032983146,0.958887802,1.29358539,-0.799518093,1,"high risk"
15.72,42.03,-0.376655944,1.286773672,-0.208050431,1.76360223,2.884963803,0.247896139,0.761207119,-0.821224157,1,"high risk"
16.22,42.03,-0.444663381,0.874540064,-0.280182996,1.738652958,1.296836927,0.2060731,0.906401193,-0.771252499,1,"high risk"
16.72,42.03,-0.444663381,0.168473877,-0.371921544,1.331651492,0.357037209,0.480910214,1.099993292,-0.854018483,3,"high risk"
17.22,42.03,-0.444663381,-0.290174853,-0.439614094,1.143510277,-0.110818842,0.325567498,1.003197242,-0.694803211,3,"high risk"
17.72,42.03,-0.444663381,-0.327433245,-0.342100552,1.166892849,-0.206329107,0.397264136,1.003197242,-0.5688142,3,"high risk"
18.22,42.03,-0.371957424,-0.274865412,-0.173805999,1.333153066,-0.212813914,0.946938363,1.29358539,-0.652873488,3,"high risk"
18.72,42.03,1.066376551,0.777629077,-0.213141172,1.72401325,1.008925081,1.520511469,1.535575514,-1.148103693,1,"high risk"
2.72,41.53,2.875893494,0.273760004,1.76798598,1.112134843,0.382488783,2.32709865,1.341983415,-1.210474338,1,"high risk"
3.22,41.53,0.865319125,-0.021335407,0.84952984,0.604280383,1.619996754,2.33904809,1.487177489,-1.072365397,3,"high risk"
3.72,41.53,-0.376655944,-0.370022251,0.50286879,-0.197469143,-0.255584705,0.152300622,0.470818971,-0.871373682,3,"high risk"
4.22,41.53,-0.491381518,-0.393670953,0.293911949,-0.076840093,-0.417642364,-0.720008477,-0.835927695,-0.774401705,4,"medium risk"
4.72,41.53,-0.555138646,-0.394624993,0.34273141,-0.027400449,-0.417642364,-0.6064888,-0.690733621,-0.691294658,4,"medium risk"
5.22,41.53,-0.593128629,-0.392536821,0.392588048,-0.028426909,-0.417642364,-0.463095524,-0.400345473,-0.677021891,4,"medium risk"
5.72,41.53,-0.599812319,-0.394624993,0.427036105,-0.004963067,-0.417642364,-0.391398885,-0.448743498,-0.645506302,4,"medium risk"
6.22,41.53,-0.599812319,-0.396472195,0.378462134,0.033578261,-0.416879025,-0.451146084,-0.400345473,-0.572161649,4,"medium risk"
6.72,41.53,-0.601909795,-0.397941508,0.321418033,0.033454257,-0.417642364,-0.582589921,-0.593937572,-0.441549464,4,"medium risk"
7.22,41.53,-0.568729132,-0.399063371,0.307081448,0.044661916,-0.417642364,-0.725983197,-0.88432572,-0.355021285,4,"medium risk"
7.72,41.53,-0.509654339,-0.399404803,0.335947768,0.0796507,-0.417642364,-0.708059038,-0.690733621,-0.309304421,4,"medium risk"
8.22,41.53,-0.394317842,-0.390272147,0.347191145,-0.00010376,-0.417642364,-0.355550566,-0.448743498,-0.207319215,4,"medium risk"
8.72,41.53,1.324878959,-0.281698556,0.348174802,0.498910235,-0.417617781,2.082135136,1.39038144,-0.784974595,3,"high risk"
9.72,41.53,-0.394317842,-0.268449973,0.146587319,-0.347504771,-0.273843011,1.191901877,1.438779464,-0.495459769,3,"high risk"
10.22,41.53,-0.482309122,-0.314877478,0.044302213,-0.371119499,-0.329033609,0.701974849,1.29358539,-0.513931513,3,"high risk"
10.72,41.53,-0.444663381,-0.353330765,-0.041891821,-0.3411938,-0.37579349,0.301668618,0.761207119,-0.402463799,3,"high risk"
11.22,41.53,-0.444663381,-0.321115721,-0.097726433,-0.383340785,-0.342676835,0.618328771,1.099993292,-0.440549304,3,"high risk"
11.72,41.53,-0.376655944,-0.279932024,-0.022112774,-0.047810902,0.890259724,1.209826036,1.341983415,-0.466776845,3,"high risk"
12.22,41.53,1.324878959,0.087809474,0.450419651,0.948795973,4.020671749,1.968615458,1.341983415,-1.555329223,1,"high risk"
